"Title","Description","Amount"
"Paypal Transfer","Money Added","+$350"
"Wallet","Bill Payment","-$560"
"Credit Card","Money reversed","+$350"
"Bank Transfer","Money Added","+$350"
"Refund","Payment Sent","-$50"
"Investment Return","Profit Earned","+$750"
"Car Insurance","Premium Paid","-$150"
"Business Payment","Payment Received","+$500"
"Mortgage Payment","Paid","-$800"
"Cash Gift","Gift Received","+$120"
"Rent Payment","Rent Paid","-$200"
"Salary","Monthly Pay","+$950"
"Medical Bill","Paid","-$400"
"Freelance Work","Payment Received","+$300"
"Gym Membership","Renewed","-$50"
"Refund","Returned Payment","+$240"
"Online Shopping","Paid","-$120"
"Consulting Fees","Payment Received","+$410"
"Pet Care","Expenses","-$50"
